Grid 1:
[[0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0]]
[[0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 255, 0], [0, 255, 0], [255, 0, 0]]
[[0, 0, 255], [0, 0, 255], [0, 255, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 0, 255], [0, 0, 255], [255, 0, 0], [0, 255, 0], [255, 0, 0]]
[[0, 0, 255], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0]]
[[0, 0, 255], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 0, 255], [255, 0, 0], [255, 0, 0], [255, 0, 0]]

Grid 4:
[[0, 0, 255], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0]]
[[0, 0, 255], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0]]
[[255, 0, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 255, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0]]
[[0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 0, 255], [255, 0, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0]]
[[255, 0, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255], [255, 0, 0], [255, 0, 0]]
[[255, 0, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [255, 0, 0]]
[[0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [255, 0, 0]]
[[255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0]]
[[255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 0, 255], [0, 0, 255], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0]]
[[0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 255, 0], [0, 0, 255]]
[[0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 0, 255]]
[[0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 255, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255]]

Grid 5:
[[255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 0, 255], [255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0]]
[[0, 0, 255], [0, 255, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 255, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0]]
[[0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0]]
[[255, 0, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0]]
[[0, 0, 255], [0, 0, 255], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0]]
[[0, 255, 0], [0, 0, 255], [0, 0, 255], [0, 0, 255], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [255, 0, 0]]
[[0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 0, 255], [255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [255, 0, 0], [255, 0, 0]]
[[0, 0, 255], [255, 0, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255]]
[[0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 255, 0], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [0, 255, 0], [0, 0, 255]]
[[255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 255, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 0, 255], [255, 0, 0], [0, 0, 255]]
[[0, 0, 255], [0, 255, 0], [0, 255, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0], [0, 0, 255], [0, 0, 255], [0, 255, 0], [255, 0, 0], [255, 0, 0]]
[[0, 0, 255], [0, 0, 255], [0, 0, 255], [255, 0, 0], [255, 0, 0], [255, 0, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 255, 0], [0, 0, 255]]

